13560,Malreaux,0,1,36,8967
13936,Oranos,201,1,636,1577
16685,Flado,401,1,607,1697
18056,warandchaos,819,1,507,2216
22940,shaunny,0,1,233,5412
24267,Devaine,13,1,1814,95
24949,FeudalKnight,853,1,202,6261
35284,poacher1,1,1,588,1787
39033,AndyJG,0,1,190,6466
42998,slipjeem,8,1,343,3458
44093,Dirk+De+Schepper,962,1,453,2597
44293,Lord+Stark,4,1,699,1343
48361,Jirki88,0,1,36,8968
51688,gargara,55,1,719,1272
55732,alex118,766,1,327,3689
68833,spamuo,0,1,231,5437
69313,DarkF%40rce,0,1,371,3212
70886,coni,0,1,819,964
76535,lucky+charms,0,1,1510,150
86821,mackan+9123,0,1,638,1570
87485,DrDeath,692,1,432,2709
89185,Rincewinds,0,1,405,2895
92442,Little+General,1055,1,982,580
105396,Nashwan+Power,692,1,507,2217
110622,wannat8,0,1,987,566
110657,kingshaun,0,1,107,7626
117840,Chops2013,413,1,886,777
129409,pimptrump,574,1,529,2078
130542,Colossus_of_VA,2,1,1252,240
135138,alecsutzuu,430,1,306,4344
138578,kingsam101,0,1,36,8969
138692,Junkie123,0,1,357,3330
142160,KGBRomeo,13,1,1711,112
143043,normy,214,1,813,982
148708,s1reean,572,1,1189,296
166087,zawa22,0,1,36,8970
172156,lonely_girl,904,1,374,3187
172793,jairi,456,1,587,1789
181171,Faissalho,0,1,481,2369
193172,Mcsimple,383,1,302,4424
199852,erdemden,964,1,371,3331
200637,XxdarkwarxX,0,1,169,6882
211754,deathadder,0,1,218,5757
214564,FIRELOR,0,1,453,2564
216303,aacbomega,0,1,36,8971
218318,Supermizio,0,1,223,5560
221239,Adiemus,596,1,335,3542
224344,baldie,16,1,570,1856
227934,Vizor,0,1,550,1972
231394,KoE-CaShMaN,438,1,1853,94
232867,Muffassa,0,1,172,6843
238205,RomantiQ,0,1,632,1597
241332,Peterale,430,1,689,1387
262914,Wilfrid+Kyaat,0,1,84,8040
266832,Shadows+of+the+Dying+Sun,40,1,1079,426
267865,KingArthursGame,664,1,185,6634
273875,cidella01,964,1,364,3269
284191,sthenno,55,1,1079,427
289433,Nimwe,1,1,834,887
289779,ferfir,0,1,136,7212
294081,Rand+Al+Metheren,0,1,61,8454
295183,1290,0,1,122,7473
295799,Chandragupt,461,1,767,1117
297148,ceide4489,0,1,345,3438
322742,sami+protiv+svih,373,1,1432,165
324359,eolver,32,1,1232,259
340095,zalimbey,1071,1,332,3648
345009,metamorphosis,32,1,1578,133
347486,ADMIR+BHF,4,1,539,2049
348255,necokalo,476,1,433,2701
349638,Hydra+of+Lerna,0,1,36,8972
349781,egidijus555,241,1,495,2287
350258,Tubrez,0,1,36,8973
350924,Pyronetic.,819,1,651,1525
351716,One+Punch,691,1,810,989
353352,BladeIce,0,1,443,2636
354287,sccr3329,0,1,36,8974
377862,Faladhrym,0,1,200,6318
379501,lbdhedlund,0,1,175,6798
382298,Tyrell+Wellick,438,1,1380,182
386653,okassiga,476,1,836,909
388871,knorg,0,1,301,4450
389203,sradsitt,8,1,801,1022
393241,S1cky+Dutch,0,1,36,8975
408236,LiveFreeOrDie,0,1,895,764
410642,CABOKING,856,1,288,4694
412222,Conqueror+Of+The+Damned,80,1,1064,451
417097,karma15,0,1,386,3078
421027,Namaz,201,1,1108,383
421144,cyoby,405,1,451,2578
423415,tikbalang,0,1,105,7679
423898,Cammmy.,0,1,186,6792
428188,monsterbro,0,1,56,8551
432065,papp215,0,1,80,8214
436623,gunszx,0,1,300,4460
439709,Jack+Lawless,438,1,852,873
443971,aagf,405,1,682,1410
445112,Daredevil+MephistO,465,1,207,6192
448825,MaJeSTee,286,1,719,1273
458418,rand4747,489,1,754,1167
462582,3moons,0,1,70,8344
469074,cicerali61,977,1,391,3056
469114,Echospring,0,1,177,6766
476462,WeAreAnonymous,0,1,628,1615
478257,KAMIINFINITY,31,1,987,578
480271,wider5,0,1,183,6680
488150,PimpTheMonkey,579,1,1080,425
502761,cillian,0,1,143,7148
508964,eedi,0,1,372,3201
514797,Lindi+rules,898,1,162,7012
520583,forensick,0,1,36,8976
520681,Majklina,0,1,838,911
521675,jamesrue,0,1,311,4083
522356,bezerker1,173,1,1151,323
526408,mattcurr,0,1,36,8977
530168,Haday,187,3,6205,10
533692,white+kitty,4,1,357,3332
533843,her0ic+legend,0,1,207,6193
539295,L%40UI%24,0,1,530,2069
541466,kk1ll,4,1,692,1376
545652,kaldoom,8,1,441,2652
546743,waylander29,480,1,213,5910
555057,liebetag,0,1,190,6467
570362,clandras,135,1,728,1241
572051,The+Marine,241,1,408,2870
584532,kalix111,0,1,1108,384
592622,Butonel,0,1,330,3649
610572,chanevr,0,1,333,3574
618957,Sadn,684,1,272,4971
627268,acu+vaso,201,1,751,1186
634372,voyage3446,1070,1,91,7873
650126,GscHHR,875,1,394,3001
659591,Arthorious,0,1,991,557
667347,bojanm,56,1,723,1258
675422,Gabi922,0,1,208,6175
679796,durza761,0,1,105,7680
683568,Rayearth,31,1,1170,311
694620,iamthemanyababy,223,1,289,4671
702965,bartalas,31,1,1522,146
714031,Denisius,0,1,136,7213
714938,Tiny+Town,0,1,401,2927
723741,eto1995,0,1,259,5121
728619,windancer,0,1,54,8629
743012,lukeage69,0,1,628,1616
743345,shadowknight1,0,1,339,3499
744563,tjhawk,298,1,1145,331
752970,pure+jonat,0,1,83,8080
763172,graand,31,1,1139,336
767996,uklad36,292,1,406,2890
785376,skiylaroso,0,1,228,5519
787337,%2APsychedelic+Mongoose%2A,0,1,134,7244
794996,chelsea+shed,405,1,361,3288
796517,zardax0r,0,1,36,8978
798972,zarena,7,1,748,1209
802313,LadyK,413,1,919,730
817004,stars111,0,1,208,6176
817331,the+real+terminator,0,1,36,8979
820032,doguealemao,10,1,131,7304
824913,zytech,0,1,355,3352
828473,kintock,461,1,650,1529
830325,billgates626,13,1,1550,137
831724,gangsta678,0,1,299,4521
838821,Mighty+Thor,383,1,450,2586
840070,Bluhd,0,1,162,7520
840651,TWISTED%28GREEN%29,0,1,353,3369
848612,The+Mighty+Jhun,238,1,273,4954
848848,roweber,0,1,105,7681
865655,Kikoul8,0,1,36,8980
870634,Albadr,413,1,2004,78
873106,murksi90,334,1,243,5280
873671,Seminarian,0,1,1590,131
874116,Vaddar,0,1,96,7811
876965,black+phantom+13,212,2,5564,9
878614,Wickedness,571,1,632,1637
879563,Maoliley,410,1,1119,363
881115,Harmson,334,1,205,6243
892307,spud+101,0,1,36,8981
896490,TheOneWithin,489,1,929,686
906840,cosa90,201,1,841,952
909440,Mr+Shooting,649,1,627,1619
910094,cornyko,0,1,36,8982
912370,whitepanda,0,1,382,3119
917620,Rathandar,0,1,125,7373
919790,califreeze,40,1,971,602
921182,Oldtimer,456,1,479,2472
929626,Krapek,0,1,527,2091
930932,lorddonk,0,1,151,7073
940179,PsychoAngel,0,1,235,5384
946859,sharpey,579,1,2417,62
948336,sir+merlin,0,1,132,7269
950428,dwtrnx,449,1,701,1334
962680,nikodeath,0,1,463,2499
963979,sir+edgar1,0,1,366,3333
966781,Amnesia+bs,0,1,427,2772
1000231,rabidpitbull,0,1,36,8983
1009756,xBC1x,684,1,487,2337
1019339,suhrim,80,1,971,603
1024995,wolf33,0,1,177,6767
1025398,karizmags007,0,1,56,8552
1026186,AlwaysAl0ne,501,1,1250,243
1040322,gilad8,135,1,694,1372
1046638,rle2,16,1,630,1608
1047404,cocodelish,812,1,473,2421
